喂喂你叫沈明明。让我报文我姓张。我姓泽泽二十二。好都在哪里呀。 喂喂你叫什么名。王保文啊你是我姓曾。我姓曾嗯是啊。啊住在哪里呀。
不过说说那个。目前从我们这个世界观察来看。来看的反是早但是参加运动的人还是不少的。我是说这个有有中年。 不过不过从那个。目前从我们这个。来看的话这早上这个运动的人还是不少的。这个这个有有中年。
老年还小朋友三分多钟。这个不错。这就篮球打不打的你。以前篮球不错的演员。 老年还有还有小朋友他们都都都。唉唉这这个不错。这这个篮球打不打了你。以前篮球不错的也也是个。
土地得远点你现在怎么怎么搞到。所以我最讲要到黄山去要个。差不多大的这个战列舰你增加一下七十多万。哥哥你别搞得吓死人了。 主力队员的你现在怎么怎么搞的是。所以所以我我要去健身房去要那个那个。所以锻炼关键增加一下体质多好啊。搞的下次再。
这个时期的话应该不是个主要的问题。现在我们这块有的时候。他说今天组织一些。这个篮球爱好者。 这个时间的话应该不是个主要的问题啊。这个这个现在我们这一块有的时候。它都经常组织一些这个这个。这个这个这个篮球爱好者啊。
经常到体育馆跟有关有关的单位的。有适当的搞个里巴溜里面填的。下午超市一下子比赛比赛。让你搞搞有什么特点。 经常到体育馆去跟有关有关的单位。呃就是适当的搞个礼拜六啊礼拜天了。下午啊考验一下子比赛比赛。那搞搞也是不错的。
没你加到小费者还进来是是是。重点的下开的这个档次。是为了他现在都不太学了。就是他不。 他现在是是是。重点的这个加强这个这个锻炼特别。是他现在。现在差不多。
他不接触这个社会的话他这样下去的话以后要吃亏太多了。我一直都在捡十个。我我是想好久没看到你了看了你这个题子。还是保持那么好都有干掉的有点什么。 他不借着这个开业嘛他现在以后要要。我一直都在坚持了那当然。我虽然好久没看到你看到你这个。体力还是保持那么好所以我感觉到有有点。
有点是个秘密的好心给我们介绍介绍。是上开学的到直接接的了。拜拜。现在我们几天。 你的这个这个秘密给我们介绍介绍。这咋排队了排队的啦。好的嗯。现在我们。
去锻炼的话有时候就是我们这一开始住得比较近对不对有时我们。经常联系碰到一起或者是找他的。晚上咱们再叫一叫呗一起去品尝一下滋味我怕。锻炼当中我们还可以交流一 去锻炼的话有时候就是我们住的住的比较近对不对有时候我们。经常连系放在一起或者是早上呢。晚上呢咱们再叫一叫呗一起去参与一下子呗。在在在锻炼当中我们还还可以交流
老白。老白老白现在。另外一个爱好了反正。一天马上都要发的粉子是晚上三十。 找老王呀。老王老王现在。另外有爱好了他。一天忙着做他爱好的事晚上。
叫十四不会有不会给我们走的。你这是滚哥。老玩的人也不错的我们大家。你的钱叫他叫他听歌。 啊他不会不会跟我们走的。你你你是不工作呗。是老王这人也不错的我们都大家这个这个。体格好。
吃点吃点。好呗。那就在以后有机会的话。另外我讲。 是的是的。唉好呃。那就在以后有机会的话呃。这个噢另外我讲。
那个还有塔。开始了。唉唉没看看。你有没有到哪里去。 那个那个还有他。开始了。啊啊。唉没没有到哪里去。
那是种减持在一天早上去锻炼锻炼。我这个感觉这个室外稍微局限性大一点。受天气受。下雨或者天气转热受影响比较大一些。 简直了呃一天早上去锻炼锻炼。我这个感觉啊这个这个室外呢受局限性大一点呗这个。受天气呀受这个这个呃。呃下雨呀或者天气太热这个受这个影响比较大一点。
但是效果可能好一些人们在外面的空气好一点。在家里家庭对家庭的影响可能也有一些。在这个外面呢可以拓展开。我感觉到这个在外边呢。 但是呢效果可能好一些人呢在外面的空气好一些。在家里了这个这个家里对家庭的影响可能也有点噢。在这个外面的人呢可以舒展开。能感觉到这个在外面呢。
看看外面的景色江边那个广场上面。有的时候可以。或者静下来的时可以跟大家交流交流。所以对自己这个锻炼效果可能会好一些。 看看外面的景色哈在江边呢在那个广场上面呃这。呃有的时候可以。或者静下来时候可以跟大家交流交流。可以对自己这个锻炼那个效果可能会好一些。
你想这个回去想。感觉到好像这个健身好像好像。我们现在这个。运动量好像跟我们这个可能不。 你讲这个我就想呢。感觉到好像这个健身房好像。我们这个现在这个。运运动量好像跟我们这个可能不。
季节可能好像不太适合。我我的感觉好像应该叫春春春暖夏凉啊那个。冬天的时候好像进行活动的话可能会好一些点。应该是这么讲我感觉个人感觉是这样的。 呃季节可能好像不太适合。我我是感觉好好像应该在春春春春暖夏凉啊那个。呃冬冬凉的时候好像进行活动的时候可以会好一些。应该是这么讲我的感觉个人感觉是这样的。
假如讲要结合这个具体实际的话。结合暑期的话呢。下班之后六点钟了之后。回去搞点稍微搞点馒头什么搞两个之后骑个车子到那个游泳池去。 假如讲那个要结合这个具体实际的话呢。结合夏暑暑期的话呢。呃下班之后六点钟的时候。回去搞点稍微搞点点心啊或者是镘头啊搞两个之后出门骑个车子到那个游泳池去。
这样子既消暑又锻炼一锻炼。比人可能全身运动的要好一些。一分多点很多点。我这个太热了。 这样的呢既消暑呃又锻炼锻炼。对人呢可能全身运动的也好一些。也挺多的挺多的。这个太热了。
那健身房太热了。这个。飞了飞。但是你你讲这个也是个也也是一个需求也好。 健身房太热。有有。对对对。你你讲这个也是个也是个趋势啊噢。
我觉得这个原来子孙。习惯夏天的习惯多去泳池晚上到泳池早上在广场上遛遛。这样啊看来给你倒结一下子。说的我挺。 我觉得这个这个。习习惯在那个夏天的习惯到这个游泳池晚上到游泳池早上呢在广场上溜溜。看来可以。说的。
我这个虽然上次带小孩子出去早上带他去。晚上带她去游泳也叫她教她一下子。兼顾文化教教教学。教育跟专业兼顾可能对。 我这个虽然是带带小孩出去早上带他去。到晚上呢带他去游泳也教他教他一下反正呢这。兼顾啊噢教教教教学。教教育跟锻炼兼兼顾可能对。
样子可能我们又比较适合一些。怎么还打篮球呢。发挥太淡薄了把它撞飞。我我讲的那天碰到个医生他跟我讲。 两个可能我们那个比较适合一些。唉爱好打篮球。妈的太单单薄了妈的还装妃子。呃我我讲的那天呢碰到个医生的他跟我讲呢。
我想我这个素质太淡薄了素质淡薄啦。我想是不是要查一下我想查的是每四种查出没查出个名次呢。他讲我后来查的时候可能可能是一线气氛不好。所以讲我这气氛太不好的话 好像我这个一直太单薄了人太单薄了。好像是不是要查一下查的胃没事的。他讲我后来查的时候可能能是胰腺不好。体检的我这个系数不好的话呢。
人长不胖营养不能积累。所以讲看到这个。要先要把这个身体这一块要搞好之后这样进行运动量大一点的人用更好。感觉胰腺不太好。 那个人长不胖那那个营养不能积累。最近呢看到这个。要先要把这个身体这一块要搞好之后呢再来进行运动量大一点的那个人要跟。那个胰腺不太好。
谢谢你。当人体这个肺能当气管孔能当中。肺的吸收功能来自于唾液它的分泌。假如咱们这一块不好的睡觉。 是真的。唉讲人体这个功能当这个器官功能当中。百分八十的吸收功能来自于这个胰腺它的分泌。假如连这个不好。
你看我这个应该按道理讲营养也不差。什么的这是不刚入啊。应该两分二十斤四公斤以上的可能要略对身体要好一些。现在可能和目目前来讲运动量的我自己好像也不太。 你看我这个应该按道理讲营养也不差。他妈的不长肉。应该讲增长个二十二十斤十公斤以上的可能要对对这个要好一些。现在这个可能在呃目前来讲运动量呢我自己好像也不太。
要这种又有的这个叫树缓一点的可能要缓一些。八运动这你年龄跟不上来。把边一下说。连这个小费子。 要这个有有有的要舒缓一点可能要好一些。大运动量呢营养跟不上啊。我跟你的啊。本来这个小费。
我看到小费厉害你在这个游泳池也看到它。蓝宝石也一个讨好。体形概念。实际上我们几个人当中你体形算最好的。 我看这小费厉害这个游泳池也看到他。篮球场也有他哈。你体形锻炼。今天我们几个人当中你体形算最好的呢。
像玩得太单调了小费得太。太粗调了。你这个复盘不都会还。喂刚才我跟你讲啊。 呃像我的太那小费那太。太粗壮的雄壮。你这个不胖不瘦反而。唉我跟你讲啊。
那天跟我介绍的这个有一些就是这样有一点小毛病的人也不是没有好处。像我们这个就不可能得到这种。什么高血压高血脂高血糖这种不能吸烟他就不会根除的。有了有还有还 那天给我介绍了呃这个有胰胰腺就是讲有点小毛病的人也不是没有好处的。像们这个胰就不可能得到这种。什么高血压高血脂高血糖这种不能吸收它就不会得这种病的。呃没有啦
这不可能沉淀。电视可能就是反应功能差的。之前下一步的话可能我最近要到医院里去把这个。适当的。 就像它不可能沉淀。唉但是呢它可能就是呃吸收功能差一点。就像那下一步的话看来我最近要到医院里去把这个。适当的。
夏那个夏天一过秋天天的秋天的都感能。感觉要好一些。国外多年我们经常叫做。户外能够在一起玩玩可能挺爱的。 夏那个夏天一过秋天来秋凉的时候才能呃。呃治疗的呃要好一些。我爱锻炼我们经常。户外能够在一起玩玩可能。
感觉并不合理。嗯回来行啊。你在念的时候边那个老王叫他。家伙伙老是坐在麻将桌上他怎么行呢。 感觉挺好的。嗯好的行啊。你锻炼的时候要把那个老王叫着。那家伙那家伙老是坐在麻将桌上怎么行呢。
大家讲好像都都都我要把他搞碎。这点话要再不上路我们都谈得吃大亏。看看他抽来不出来不抽来。所以把它搞出来。 这家伙要是不不走也要把他拖出去。这这家伙要是再不上我们到他去。他妈的看看他出来不出来不不出来我们去。非得把他搞出来。
唉司马德不然的话。就罗纳尔多不出这么多。哪天跟他跟他联系一下。你好。 唉他妈的不然的话。就就是只进不出怎么做。唉哪天跟他跟他联系一下子哈。你好。
嗯今天咱们讨论的问题应该是大学毕业生就业问题是吧。你是一位大学生吗。你大二了吗。哦我今年刚好毕业了。 嗯今天咱们讨论的问题应该是大学毕业生就业问题是吧。噢你是一位大学生吗。嗯毕业了吗。噢我我今年刚好毕业。
唔你觉得最近。大学毕业生的就业问题怎么样呢。唔我不是感觉了而是我身临其境。我是安徽对。 唔唔你觉得最近。大学毕业生的就业问题怎么样呢。嗯我不是感觉了而是我身临其境。噢我是安徽嗯对。
哦我是在芜湖的。安徽芜湖一个师专毕业的。师专没毕业。还没有我因为可能是。 噢我是在芜湖的。安徽芜湖的一个师专毕业的。噢师范类学校啊。还没有噢因为可能是。
一些问题然后出去找工作的时间比较迟一点所以然后本来就是。形势比较严峻然后。因为时间赶得不是太巧所以工作还没有定下来。嗯对。 一些问题然后出去找工作的时间比较迟一点所以呃然后本来就是就业。形式比较严峻然后。因为时间赶的不是太早所以呃工作还没有定下来。嗯对。
方便一点啊。这也许这也也许是大家都这么认为的。但是真正的约有于。呃现实当中的话可能会比较难一点。 方便一点呃。这也许这也许是大家都这么认为的。但是真正的运用于。呃当中的话可能要比较难一点。
因为现在大家为了。然后孩子让让那个。就越好一点形式好一些也算。大大部分人。 因为现在大家为了。让孩子呃让让那个。就业好一点形式好一点所以。大大部分的人。
在上大学的时候都选择了师范类学校。再加上现在毕业生比较多一点。然后相对而言。这块工作也比较难找一些。 在上大学的时候都选择了师范类学校所以。现在师范类毕业生比较多一点。然后相对而言。唔这一块工作也比较难找一点。
嗯嗯。嗯哦。噢噢。噢嗯。 嗯嗯。嗯好。噢噢。噢嗯。
嗯嗯。嗯哦。那你学的所学的专业是什么专业呢。法学。 嗯嗯。嗯好。唔那那你学的所学的专业是什么专业呢。法学。
那你现在初步打算你的。工作定在。唔每每个城市或者是每个行业。也就是继续深造法学继续。 唔那你现在初步打算你的。工作定在。唔哪哪个城市或者是哪个行。也就是继续深造法学继续。
就读研究生还是找工作呢。哦我。我觉得这个问题应该是你自己个人的问题好。对对对这个可能是比较。 就读研究生还是找工作呢。噢我我。我觉得这个问题应该是你自己个人的问题哈。考研嗯对这个可能是比较。
现实一点的问题哈因为怎么讲。呃法学。这个这门学科是比较。深一点学得比较深一一点可能动作更好一点。 现实一点的问题哈因为怎么讲。唔法学。这个这门学科是比较。呃深一点学的比较深点可能工作更好找一点。
对呀慢慢学。那你觉得。现在大学生就业问题应该注意哪些东西呢。嗯嗯。 对啊唔卖卖。那你觉得。现在的大学生就业问题应该注意哪些东西吗。嗯嗯。
呃呃呃。嗯嗯嗯。呃嗯。嗯呃。唔嗯。 嗯嗯嗯。嗯嗯嗯。嗯嗯。嗯嗯。
嗯嗯。嗯行你就给你下了。嗯没有。嗯拜拜。 嗯嗯。嗯嗯。嗯对对。呃对对。
嗯嗯嗯。你去过人才交流的东西吗。你感觉那里边的气氛怎么样。嗯呃。 嗯嗯。噢你去过人才交流中心吗。呃你感觉那里面的气氛怎么样。嗯嗯。
嗯对嗯。你觉你觉得高学历和。和好工作中间是成正比还是反比。嗯对。 嗯对嗯。嗯你觉得你觉得高学历和。和好工作中间是成正比还是反比。嗯对。
嗯嗯对。就是考上北大了以后工作根本就不用愁的。嗯嗯。嗯对嗯。 嗯嗯对。就是考上北大了以后工作根本就不用。嗯嗯。嗯对嗯。
嗯嗯。嗯好。我是中文专业爱美文学。嗯其实话讲回来的话如果睡着了。 嗯嗯。嗯好。我是中文专业爱好文学嗯。唔其实话又讲回来的话如果是讲。
道路更宽广一些可能理科生这方面要占的优势比较大一点。毕竟是文科生嗯。他一般主要是。笔工方面还有口才方面比较用量大一些但是。 道路更宽广一些可能理科生这方面要占的优势比较大一点。毕竟是文科生呃唔。它一般主要是。理工方面还有口才方面比较弱量大一点但是。
没有实际的应用价值。嗯对。呃对于我曾经学习过公共关系没有。嗯嗯。 唔没有实际的运用价值。嗯对。嗯对我曾经选修过公文关系嗯。呃嗯。
嗯对对。那你在珠海那边你觉得那边的。就业。形式会不会比比内地这边要好一点。嗯对。 嗯对对。那你在珠海那边你觉得那边的。就业。呃形式会不会比比内地这边要好一点。
对这是肯定的嗯。嗯嗯嗯。呃嗯。对嗯。 对这是肯定的嗯。嗯嗯。嗯嗯嗯。嗯对嗯。
呃嗯。嗯对。嗯嗯嗯。呃所以我比率毕竟多一点也不就。 嗯嗯。嗯对。嗯嗯。嗯那边机率毕竟多一点嗯。
呃呃。嗯嗯。嗯对。呃嗯。 嗯嗯。嗯嗯。嗯对。嗯嗯。
对对。嗯拜。按照客观于实际。有没有嗯。 对对。嗯对。啊那又又实际。嗯嗯。
嗯嗯对唉嗯。嗯嗯嗯。呃嗯。唔那还有一个问题啊。 嗯嗯对对嗯。嗯嗯嗯。嗯嗯嗯。嗯那还有一个问题哈。
就是大学生。就业问题肯定要牵扯到一个劳动报酬的问题。嗯而且像现在这种社会没有。你好。 就是大学生。就业问题它肯定要牵涉到一个劳动报酬的问题。嗯而且像现在这种社会没有。你好。
这样是啊。快毕业了。你好你好。我感觉形势非常严峻。 是啊呃是啊。呃快毕业了。噢你好你好。我感觉形式非常严峻。
很好。那么就是你是哪里人。安徽你在哪个学校。那不就是唔你现在工作已经初步定了吗还没有。 很好噢。那么就是你你你你是哪里人。安徽你在哪个哪个学校。那么就是你现在工作已经初步定了吗还没有。
不过告诉你个好消息啊。因为现在女孩子特别是师专对吧。越方便一点。对对对。 不过告诉你一个好消息啊。因为现在女孩子特别师专类吧。就业方便一点。对对。
哦不过就是我听说。因为比如说我在珠海吧。就在我们那里就是他不是有一个那个。就是女子示范。哦就是那个女子举重。 噢不过就是我听说。就是比如就是我在我在珠海吧。就像我们那里就是它不是有一个那个。就是女子师范。
那个就是教育学院形式那种。所以他们那就是女子的就业形式就比较好一点。因为就是你比如说那个中学吧。他们就是大专生就是中学比如初中小学。 那个就是教育学院形式那种。对它们那个就是女子的就业形式就比较好一点。因为就是你比如说那个中学吧。他们就是大专生就是中学就是初中的教学。
他们老师就是要求。一般情况就是女子就是占优势一点。法学对。呃你想呢。 他们老师就是要求。一般情况就是女子就是占优势一点呃。呃法学对。呃你想吗。
考研接一口。我找不到要求比如高一点是吧嗯。你你你说你说。大九爷因为就我感觉吧。 考研必须考研。差不多要求比较高一点说实话嗯。你噢你说你说。大学就业因为就我感觉吧。
其实你一个真正合格的大学生。他本身去说他是一种。知识和能力的结合体。一方面比如说就是你学这个专业吧。 就是一个真正合格的大学生。他本身就是说他是一种。知识和能力的结合体。一方面比如说就是你学这个专业吧。
本专业的知识就是一定要夯实的基础。就是在本专科的基基础之上就是形成一种专业思维。就在这种思维的基礎之上向其它专业拓展。变化就是就是以点从点到面嘛。 本专业的知识就是一定要有一定的基础。就是在本专业的基础之上就是形成一种专业思维。就是那种思维的基础上向其它专业拓展。变化就是就是一点从点到面嘛。
这样就形成了一个立体网状式的那个知识结构。这段话就是就是一种复合型人才。那这样的话就你比如说在社会的不同部门不同领域。你可以就是展现就是不同的风采。 然后就是形成个立体网状式的那个知识结构。就是就是一种那个复合性人才嘛。那这样的话就是你比说在社会的不同部门不同领域。你可以就是占一线就是不同的风彩。
比如说就是你比如我学法学。呃就是在律师事务所。就是可以帮帮比如政治卷宗了是吧。大概一直帮帮案子这样的话。 比如说就是你比如说我学法学。就是在律师事务所。就是可以帮就是帮忙比如说了是吧。再可以就是帮忙案子这样的话。
那就是假如说就是你可以到。那个比如说企业部门的法律顾问。也可以大学也就是大学里面。就是考研的话也可可以当那个法学老师也可。 你说假如说就是你可以到。那个比如说企业部门的法法律顾问。也可以大学研究大学理论。就是考研的话也可以当那个法学老师也可以。
就这样的话就是你比如说如果就是唔你真的就。业余才能的话比如就是艺术吧。就是呃你的书法呀或者是那个唱歌吧。如果有特长的话那么就是嗯你可以比如呃节目主持人。 就这样的话就是你比如说你如果就是你真的就就。业余才能的话比如说艺术吧。说你的书法或者是那个唱歌吧。如果有特长的话那么就是你可以比如说节目主持人。
都可以忘。去过一次。感觉就是。去年就是我去的那个就是那个广州。 都可能吧。呃去过一次。感觉就是。去年就是我去的那个就是那个广州。
就是人才教育中心去一趟。其实我亲身经历就是一个就是比较难忘的那个例子。就是那个北大的学生。就拿那个那个。 就是人才交流培训去一趟。就是我亲身经历就是一个就是我比较难忘的那个例子。就是一个北大的学生。就是拿那个那个。
那个录取通知书不分成个毕业证和那个身份证。但是就是没有找到工作。就是以前不知道那个皇帝的女儿不出嫁是吧。现在就说皇帝女儿也抽象。 那个录取通知书就是那个毕业证啊和书。但是就是没有找到工作。就是以前不是说那个皇帝的女儿不愁嫁是吧。现在就是说皇帝的女儿也愁嫁。
这个就是我这样感觉。因为现在这个社会它是趋向那个竞争性。不再是就是你比如说就我刚举那个例子吧。两说其实你比说北大一般情况下就是天之骄子。 这个就是我这样感觉。因为现在这个社会它是趋向那个竟争型。不再是就是你比如说就我刚举那个例子吧。假如说就是你比如说北大一般情况就是天之骄子。
如果就是以前那句人刚刚那以前的那个思维啊那以那个模式的话就是黑。对对但现在就是说现在呢就事实上就说。还是愁。对吧变化就是现在这个社会。 如果就是以前的学生按照那以前那个思维按照以前那个模式的话就是很。对对对但现在就是说现在就是事实上就是说。还是愁。对吧变化就是现在就是这个社会。
它强调了你一种知识的能力。你比如说就有几个比如学习法律。就是它是。你就是说晕晕的现实中嘛。 它强调是你一种知识的能力。你比如说就学比学法律。也不是它是。你比如说运用到运用到现现实中吧。
如果就是遇到碰到一个案子你不能就是。应用那个书本的理论灵活的去。就是办案的话那么就是你学的东西全部是一潭就是一滩死水一样。我可能就黄发出现什么生机就这样。 如果就是遇到碰到一个案子你不能就是。因为那个书本的理论灵活的去。就是办案的话那么这你学的东西全部是一滩就是一滩死水一样。不可能就什么什么生机就这样。
所以说你就是说就是你是对了你是什么什么专业。就本专业汉语文学那么你的道路更宽广一点。不不不这样我跟我跟你说啊。中文系就比如说。 所以说所以说就是你是对的你是什么什么专业。中文专业汉语文学那么你的道路更宽广一点。不不不不是我跟我跟你说。中文系就比如说。
你们现在不是大学都有选修的吗。你你比如说你学中文的时候你也可以反学我比如新闻。是吗法律都可以。哦公关系你比说就你学的中文。 你们现就是大学都有选修的吧。你比如说你学中文的时候你可以选修比说新闻。是吧法律都可以。噢公关系你比如说就你学中文。
那么就是你的道路很宽广比如说你是记者。对吧你是服务员里面老师等等各个我们都可以。对呀就你的路子你比如学法律之后那么那么你道路更宽广。因为就是比如现在中国的 那就你的道路很宽广比如说你是记者。对吧你就里面老师等等各部门都可以。对吧就是你的路子你比如说学法律之后那么就是你道路更宽广。因为就是你比说现在中国算是基础啊
英语是这样说吧。因为经济越发达那么他的机会就越多。对因为你比如说就是珠海以珠海为例吧。他想不见一个那个珠港就是那个呃珠港澳大桥。 因为就是这样说吧。因为经济越发达那么它的机会就越多。对因为你比如说就是珠海以珠海为例吧。它像不像一个那个珠港就是那个珠港澳大桥。
对吧就是它现在的广告大权就是。如果建成的话。那么就是会促进就是比如说内地就是中海霸。与港澳香港就是这个经济交流。 对吧就是它现在珠港澳大桥就是。如果建成的话。那么就说会促进就是比说内地就是珠海吧。对港澳香港就是这个经济交流。
那这样话就是无形之间就是发动那个经济的发展。那电话呢就是这个机会你会更多。你比如说如果就是比说珠海靠近珠海嘛。就是快递出款的比如那个。 它这样话就是无形之间就是达到内地的发展。那这样话就是这个机会你会更多。你比如说就是如果就是比如说珠海靠近珠海吧。比如靠近珠海比如说那个。
汕头。厦门这些特区还真正在退去还有那广州嘛。他们就是机会就是很多但是因为就是。一个趋势以前不是孔雀东南飞吗是吧。 呃汕头。厦门这些特区和深圳这些特区还有呢广州吧。它们就是机会就是很多但是因因为就是。一个趋势啊以前不是孔雀东南飞吗是吗。
中国东南大不过现在就是。孔雀东升的趋势还是进一步。你比如说一个北大就是清华他们那个。就是学生嘛如果不出国就读考研的话大部分。 孔雀东南飞不过现在就是。孔雀东南飞的趋势还得近一步。你比如说你北大就是清华它们。就是学生吧如果不出国就不考研的话大部分。
都来到东南东南沿海建化技术。对因为就是上次就是我从那个报纸上了解到。因为广东的就是实际的。人才需求是大概是十七万就是去年十七那多人。 都来到东南东南沿海这样话就是。对因为就是上次我从那个就是报纸上了解到。因为广东的就是实际的。人才需求是大概是十七万这是去年吧十七万多人。
大家就是你比如说大学毕业生加上就是哥哥。那个部门里面就北方过来那个大学生过来。能够超过五超过那个五十万。那这样话就说这已经过饱和了对吧。 但就是你比如说大学毕业生加上就是各个。那个部门那边就北北京就北方北方过来那个大学生过来。总共超超过五十万。那这样话就说这已经过饱合了对吧。
那这话就是无论就是你什么专业还理工啦。还有什么技是文科的吧招工英语是。人一多就是显然就是说稍微困难一点。但是这样这样说因为北方。 那这样话就是无论就是你是什么专业理工啦就是。还有什么就是文文文科的吧招工因为就是。人一多就是显然就是说稍微困难一点。但是任这样这样说因北方。
它们就是文化底蕴就是比较厚一点。对吧他们就说你比如说理论理论知识他们掌握得比较牢一点就是。掌握的比较深一点啊就是南方占什么优势呢就说。南方实践的机会比较多 他们就是文化底蕴就是比较厚一点。对吧他们就是说那比如说理论理论知识他们掌握的比较牢一点。但掌握比较牢一点就是南方占什么优势呢就是。南方实践的机会比较多一点。
就是你学了学了东西之后就是。对你比如说就我们学法律嘛其实学法法律的时候就。不过没刻意到那个律师事务所。接待就可以见就人而说因为你在南方律师市务所比较多嘛所 比方就是你学了学了东西之后就是。对你比如说我们学法律吧就是学法律那时候就是。我们可以到那个律师事务所。随处就可以见律师事务所因为你们南方律师事务所比较多一点
还有那就不是到法院你比如说合肥那个淮海市中级人民法院嘛。他们就是。定期到我们学校去做那个就是那个报告。来作那个讲座。 再那就是那法院你比如说它那个珠海市中级人民法院吧。它们就是。定期到我们学校去做那个就是那个报告。还有那讲座。
有时候就是还请我们去听那个法庭审判。那这样的话就是机会多一点。并且就是你比如说到社会上法律咨询了。就是运用的东西多一些。 有时候就是还请我们去听那个就是法法庭审判。那这样的话就是机会多一点。并且就是你比如说到社会上那个法律咨询啦。这就是就是运运用的东西多一点。
那这样的话就是。实际的机会多一点。所以说就是比较灵活一点啊。就是北方就是呃比如说理论知识掌握的多一些。 那这样的话就是。实践的机会多一点。所以说就是比较灵活一点。就北方就是比如说理论知识掌握的多一点。
但是相对来说死板一点。对对对。喂你好。嗯五。 但是以相比来说死板一点。对对对。喂你好。唔唔。
你叫什么名字。你吃过了没有。想吃过今天吃的什么呢。吃了什么。 你叫什么名字。你吃过了没有。刚吃过今天吃的什么呢。吃的什么。
感觉心里面可能有点像北方人。你好像是北方的。远方的吗。啊嗯现在在北方。 感觉听你的口音有点像北方人啊。你好像是北方人。南方的吗。呃唔我现在在北方。
然后比方吃饭对食品有很多不同对吧。于是我也看见。南方人大部分有以清蒸为食品。你说你最喜欢吃的是鱼啦。 南方和北方吃饭的事情有很多不同对吧。你是不也感觉呃。唔南方大部分有以什么为食品啊。嗯那个你最喜欢吃的是鱼啦。
也就是说你最喜欢吃的是鱼了。那你会做吗。啊对吗。不会吗。 也就是说你最喜欢吃的是鱼啦。那你那你会那你会做吗。啊会吗。不会嘛。
最喜欢现在也不会做。那你会做什么呢。什么菜呢。啊那我会呀。 最喜欢吃的也不会做。那你会做什么呢。什么菜呢。噢那我会呀。
那我最喜欢吃的是。是炸鸡鸡。但是我最会。做得最好的也是鱼啦就是你最喜喜欢的。 啊我最喜欢吃的是。呃是小吃鸡。但是我最会。做的最好的是鱼啦也就你最喜欢吃的。
给啊我跟你说了我最熟。做得最好的就是鱼吧。就是红烧鱼唉。真的要不下就刷一下给你尝尝。 对呀我跟你说了我最喜欢。做的最好的就是鱼啦。就是红烧鱼呃。真的要不现在就烧一下给你尝尝。
唔你喜欢吃素食还是喜欢喜欢是荤食啊。是不行很多女孩子都喜欢去比较喜欢食素食的。那你比较你比喜欢那食温泉的美食。好嗯。 你喜欢吃素食还是喜欢吃荤食啊。素食呀很多女孩子都喜欢吃比较喜欢吃素食呀。那你比较喜欢吃什么样的零食呢。噢嗯。
那基本上你水果就喜欢吃了。我们我比较喜欢是吃的就是。呃最喜欢就是画眉了。呃我比比较呃喜欢呃吃酸酸的东西对。 那基本上你水果你都喜欢吃啦。唔我比较喜欢吃的就是。最喜欢吃的就是话梅啦。我比较喜欢吃酸酸的东西对。
错了。那是那是人造酸啊。要喜欢吃的就是。要说是天文算。 素啊。那那是人造酸啊。我喜欢吃的就。要是\u001f是天然酸。
天然的。就是。什么。嗯买呀也会比较少。 天然的。就是果酸味。什么。呃奶呀喝的比较少。
他也是不做面。他有时啊。他是一个比较节俭的人。你去市超市去买一点点东西或者最便宜的那些。 他唔也是。他有时啊。呃呃他是一个比较节俭的人。每次逛超市只买一点点东西都是最便宜的那一些。
都买好色号去了。那我以为他吗。他不想要呢。我还不太了解女孩子。 真的好少好少。啊那我以为他。他不想要呢。我还不大了解女孩子。
那你嗯。想不想学校干。学烧菜。学学烧鱼你不是最喜欢吃鱼的吗。 那你呃。想不想学烧菜。学烧菜。学烧鱼啊你不最喜欢吃鱼的吗嗯。
不想学为什么呢为什什么。有燃烧的欲望呀。谁呀谁呀。啊为什不二十万呢。 不喜欢吃为什么呢为什么。有人烧给你吃啊。谁呀谁呀谁呀。啊为什么不告诉我呢。
为什么不告诉我呢。那好。那就不勉强你了。我上海人。 为什么不告诉我呢。那好。那就不勉强你了。我啊上海人。
我是上海人但是我现在居住在阜阳。你看你也是。呃你现在也在沈阳吗。那你在沈阜阳能吃得惯吗。 我是上海人但是我现在居住在阜阳。你呢你也是。你现在也在阜阳吗。那你在阜阳能吃的惯吗。
我在阜阳的我反正是吃不太习惯这边大部分都是面食。嗯天天动物都是磨。你呀。哦那你的事业能力蛮强的。 我在阜阳反正是吃不太习惯这边大部分都是面食啊。呃天天中午都是馍。你呀。啊那你的适应能力蛮强的。
你看我到现在还不不是很习惯。每次吃馍最多挺能吃。嗯一两个就不。喂你好。 你看我到现在还不不是很习惯。每次吃馍最多只能吃。呃一两个。喂你好。
然后吃过。什么啊。我我今天出去吃。不是。 刚吃过。说什么。我我今天吃的鱼。不是。
嗯嗯。我不知道反正我喜欢吃鱼。还有第一。对呀李凤你喜欢。 嗯嗯。唔我不知道反正呃我喜欢吃鱼。还有还有。对呀那你喜欢吃什么。
不会做不会。我不会吃。嗯对呀。我会炖米饭。 不会做不会。我不会做。嗯对呀。我我会我会炖米饭。
我不会说谁。嗯你呢。讲讲你吧。你跟我一样。 嗯我不会烧菜。嗯你呢。讲讲你嘛。你做鱼呀。
那你学会说。让你给我收菜。真的真的吗。那有机会你说给我吃一下。 那你都会烧。那你不会烧菜。真的真的吗。那有机会你烧给我吃吃行。
